Regime_Label,Avg_GDP,Avg_Unemployment_Rate,Avg_CPI,Avg_FEDFUNDS,Avg_Industrial_Production,Avg_Consumer_Sentiment
0.0,2.810129432307516,4.723529411764706,204.20238235294119,4.519705882352941,99.75733235294118,84.00588235294117
1.0,-0.985989222174465,7.211904761904761,234.34373809523808,0.3588095238095238,98.12901904761905,75.4047619047619
2.0,1.8595369958372612,4.565714285714286,245.16770000000002,1.0017142857142858,101.25294285714286,94.2342857142857
3.0,4.385300205299319,3.9923076923076923,284.8031538461538,0.5453846153846154,101.73070769230769,63.5
4.0,3.0608177756418837,4.417857142857143,166.84464285714284,5.411607142857143,87.15141964285715,103.46249999999999
5.0,-11.36701732761019,10.72,257.06080000000003,0.184,90.99524,76.75999999999999
6.0,1.3099867559926237,5.64468085106383,184.69574468085108,1.6880851063829787,91.86905531914893,90.63829787234043
7.0,1.6512383457437305,9.270833333333334,221.49958333333333,0.13833333333333334,93.06110416666667,69.59583333333333
8.0,10.37520787435868,5.86,268.5102,0.076,99.08528,84.56
9.0,-3.9816608471034125,9.13076923076923,214.32107692307693,0.16,87.09115384615384,65.78461538461539
