observation_date,BAMLH0A0HYM2
1996-12-31,3.13
1997-01-31,3.03695652173913
1997-02-28,2.956
1997-03-31,2.696190476190476
1997-04-30,2.893181818181818
1997-05-31,2.721739130434783
1997-06-30,2.617142857142857
1997-07-31,2.7247826086956524
1997-08-31,2.5436363636363635
1997-09-30,2.5945454545454543
1997-10-31,2.6056521739130436
1997-11-30,2.8595238095238096
1997-12-31,2.890434782608696
1998-01-31,3.0204347826086955
1998-02-28,2.9233333333333333
1998-03-31,2.833636363636364
1998-04-30,2.846363636363636
1998-05-31,3.001818181818182
1998-06-30,3.242272727272727
1998-07-31,3.3360869565217395
1998-08-31,3.9580952380952383
1998-09-30,5.6054545454545455
1998-10-31,6.432173913043478
1998-11-30,5.703809523809523
1998-12-31,5.538260869565217
1999-01-31,5.553636363636364
1999-02-28,5.31047619047619
1999-03-31,5.235652173913044
1999-04-30,5.035454545454545
1999-05-31,4.701904761904761
1999-06-30,4.672272727272728
1999-07-31,4.797826086956522
1999-08-31,4.819090909090909
1999-09-30,5.042727272727273
1999-10-31,5.001818181818182
1999-11-30,5.08
1999-12-31,4.773478260869566
2000-01-31,4.784285714285714
2000-02-29,4.902380952380953
2000-03-31,5.368695652173913
2000-04-30,5.846666666666667
2000-05-31,5.897826086956522
2000-06-30,6.135909090909092
2000-07-31,6.123333333333333
2000-08-31,6.361304347826087
2000-09-30,6.453636363636363
2000-10-31,7.292272727272728
2000-11-30,8.088181818181818
2000-12-31,9.01590909090909
2001-01-31,8.493478260869566
2001-02-28,7.6075
2001-03-31,7.915217391304348
2001-04-30,8.5
2001-05-31,7.688695652173913
2001-06-30,8.056818181818182
2001-07-31,8.26
2001-08-31,8.05304347826087
2001-09-30,9.096666666666668
2001-10-31,9.796521739130435
2001-11-30,8.79409090909091
2001-12-31,8.294761904761904
2002-01-31,8.157826086956522
2002-02-28,8.103
2002-03-31,7.318636363636363
2002-04-30,7.159090909090909
2002-05-31,7.026521739130434
2002-06-30,7.975714285714286
2002-07-31,9.360434782608696
2002-08-31,9.78608695652174
2002-09-30,9.84952380952381
2002-10-31,10.677391304347827
2002-11-30,9.648181818181818
2002-12-31,8.965
2003-01-31,8.21391304347826
2003-02-28,8.433499999999999
2003-03-31,8.043809523809523
2003-04-30,7.01409090909091
2003-05-31,6.638695652173913
2003-06-30,6.341904761904762
2003-07-31,5.85695652173913
2003-08-31,5.821363636363636
2003-09-30,5.358636363636363
2003-10-31,4.920869565217391
2003-11-30,4.617619047619048
2003-12-31,4.278695652173913
2004-01-31,3.9504347826086956
2004-02-29,4.258571428571429
2004-03-31,4.401739130434782
2004-04-30,3.9790909090909095
2004-05-31,4.250952380952381
2004-06-30,4.069090909090909
2004-07-31,4.0117391304347825
2004-08-31,4.081363636363637
2004-09-30,3.8736363636363635
2004-10-31,3.727272727272727
2004-11-30,3.2895454545454546
2004-12-31,3.100869565217391
2005-01-31,3.2042857142857146
2005-02-28,3.0515
2005-03-31,2.983913043478261
2005-04-30,3.7813636363636363
2005-05-31,4.227727272727273
2005-06-30,3.902727272727273
2005-07-31,3.494090909090909
2005-08-31,3.3739130434782605
2005-09-30,3.639090909090909
2005-10-31,3.584761904761905
2005-11-30,3.6213636363636366
2005-12-31,3.65695652173913
2006-01-31,3.553181818181818
2006-02-28,3.335
2006-03-31,3.2517391304347822
2006-04-30,3.06
2006-05-31,3.0186956521739132
2006-06-30,3.2809090909090908
2006-07-31,3.3704761904761904
2006-08-31,3.4182608695652177
2006-09-30,3.428636363636364
2006-10-31,3.252272727272727
2006-11-30,3.14
2006-12-31,2.9936363636363637
2007-01-31,2.767826086956522
2007-02-28,2.6205
2007-03-31,2.86
2007-04-30,2.741904761904762
2007-05-31,2.5660869565217395
2007-06-30,2.612727272727273
2007-07-31,3.3486363636363636
2007-08-31,4.31
2007-09-30,4.424285714285714
2007-10-31,4.160869565217391
2007-11-30,5.3109090909090915
2007-12-31,5.692380952380953
2008-01-31,6.7586956521739125
2008-02-29,7.245238095238095
2008-03-31,8.098095238095238
2008-04-30,7.3931818181818185
2008-05-31,6.685652173913044
2008-06-30,6.730952380952381
2008-07-31,7.748695652173913
2008-08-31,8.19909090909091
2008-09-30,9.19
2008-10-31,14.942608695652174
2008-11-30,17.959047619047617
2008-12-31,20.286956521739132
2009-01-31,16.79391304347826
2009-02-28,16.536190476190477
2009-03-31,17.837727272727275
2009-04-30,15.623636363636365
2009-05-31,12.50590909090909
2009-06-30,10.80590909090909
2009-07-31,10.27
2009-08-31,8.971428571428572
2009-09-30,8.452272727272726
2009-10-31,7.76304347826087
2009-11-30,7.561904761904763
2009-12-31,6.919130434782608
2010-01-31,6.233181818181818
2010-02-28,6.730952380952381
2010-03-31,6.121739130434783
2010-04-30,5.6040909090909095
2010-05-31,6.5009523809523815
2010-06-30,7.016818181818182
2010-07-31,6.778695652173913
2010-08-31,6.755909090909091
2010-09-30,6.421363636363637
2010-10-31,6.008181818181819
2010-11-30,5.872727272727272
2010-12-31,5.551304347826087
2011-01-31,5.1242857142857146
2011-02-28,4.657500000000001
2011-03-31,4.8365217391304345
2011-04-30,4.661818181818182
2011-05-31,4.846818181818182
2011-06-30,5.49
2011-07-31,5.434545454545455
2011-08-31,6.990434782608696
2011-09-30,7.675454545454546
2011-10-31,7.908571428571429
2011-11-30,7.606363636363636
2011-12-31,7.510434782608696
2012-01-31,6.8531818181818185
2012-02-29,6.244285714285714
2012-03-31,5.96304347826087
2012-04-30,6.12952380952381
2012-05-31,6.313478260869566
2012-06-30,6.7713636363636365
