Date,Consumer Price Index for All Urban Consumers All Items in U.S. City Average_CPIAUCSL,Federal Funds Effective Rate _FEDFUNDS,Industrial Production Total Index_INDPRO,Leading Indicators OECD Reference Series Gross Domestic Product (GDP) Original Series for the Euro Area (19 Countries)EA19LORSGPORGYSAM,Unemployment Rate_UNRATE,University of Michigan Consumer Sentiment_UMCSENT
1996-12-01,159.1,5.29,77.3772,1.86627256498311,5.4,96.9
1997-01-01,159.4,5.25,77.5135,1.95264311049976,5.3,97.4
1997-02-01,159.7,5.19,78.4255,2.0608764944371,5.2,99.7
1997-03-01,159.8,5.39,78.9197,2.1904152460859,5.2,100.0
1997-04-01,159.9,5.51,78.9848,2.33758201596323,5.1,101.4
1997-05-01,159.9,5.5,79.4296,2.49629264691983,4.9,103.2
1997-06-01,160.2,5.56,79.7971,2.66221789104736,5.0,104.5
1997-07-01,160.4,5.52,80.4666,2.8349892181416094,4.9,107.1
1997-08-01,160.8,5.54,81.2825,3.01459709149686,4.8,104.4
1997-09-01,161.2,5.54,82.0327,3.19724732702158,4.9,106.0
1997-10-01,161.5,5.5,82.7656,3.37065391360613,4.7,105.6
1997-11-01,161.7,5.52,83.427,3.51750245921205,4.6,107.2
1997-12-01,161.8,5.5,83.784,3.61950925126506,4.7,102.1
1998-01-01,162.0,5.56,84.1564,3.663242424141631,4.6,106.6
1998-02-01,162.0,5.51,84.3066,3.6396086969549697,4.6,110.4
1998-03-01,162.0,5.49,84.342,3.54902389803892,4.7,106.5
1998-04-01,162.2,5.45,84.6339,3.40799428201532,4.3,108.7
1998-05-01,162.6,5.49,85.1867,3.23745089450095,4.4,106.5
1998-06-01,162.8,5.56,84.6809,3.05408135758864,4.5,105.6
1998-07-01,163.2,5.54,84.3445,2.86384711838923,4.5,105.2
1998-08-01,163.4,5.55,86.0816,2.66951164917636,4.5,104.4
1998-09-01,163.5,5.51,86.0023,2.47854584797106,4.6,100.9
1998-10-01,163.9,5.07,86.591,2.31165960767427,4.5,97.4
1998-11-01,164.1,4.83,86.5115,2.19240001295308,4.4,102.7
1998-12-01,164.4,4.68,86.8615,2.13584412985888,4.4,100.5
1999-01-01,164.7,4.63,87.2205,2.13367370056797,4.3,103.9
1999-02-01,164.7,4.76,87.726,2.1695072664600294,4.4,108.1
1999-03-01,164.8,4.81,87.9125,2.23031054042464,4.2,105.7
1999-04-01,165.9,4.74,88.1082,2.31467250782946,4.3,104.6
1999-05-01,166.0,4.74,88.6483,2.4283595601863,4.2,106.8
1999-06-01,166.0,4.76,88.5903,2.5783819066313094,4.3,107.3
1999-07-01,166.7,4.99,89.1098,2.76503906993034,4.3,106.0
1999-08-01,167.1,5.07,89.5007,2.9837506084688,4.2,104.5
1999-09-01,167.8,5.22,89.1304,3.2243023191814,4.2,107.2
1999-10-01,168.1,5.2,90.2709,3.46738918035314,4.1,103.2
1999-11-01,168.4,5.42,90.7528,3.6921703371725902,4.1,107.2
1999-12-01,168.8,5.3,91.4784,3.8832214373293104,4.0,105.4
2000-01-01,169.3,5.45,91.4092,4.03937100693859,4.0,112.0
2000-02-01,170.0,5.73,91.7245,4.16297970613698,4.1,111.3
2000-03-01,171.0,5.85,92.083,4.25526154684741,4.0,107.1
2000-04-01,170.9,6.02,92.6659,4.30882793054142,3.8,109.2
2000-05-01,171.2,6.27,92.9347,4.313402370171088,4.0,110.7
2000-06-01,172.2,6.53,93.0018,4.2632266633597515,4.0,106.4
2000-07-01,172.7,6.54,92.8373,4.16779496773696,4.0,108.3
2000-08-01,172.7,6.5,92.591,4.04231416299496,4.1,107.3
2000-09-01,173.6,6.52,92.9827,3.9013472791196895,3.9,106.8
2000-10-01,173.9,6.51,92.64,3.75460276119967,3.9,105.8
2000-11-01,174.2,6.51,92.6604,3.6065436096409904,3.9,107.6
2000-12-01,174.6,6.4,92.3457,3.45638640460454,3.9,98.4
2001-01-01,175.6,5.98,91.8908,3.29806225227922,4.2,94.7
2001-02-01,176.0,5.49,91.2851,3.12344687320423,4.2,90.6
2001-03-01,176.1,5.31,91.0585,2.92930018413188,4.3,91.5
2001-04-01,176.4,4.8,90.7384,2.72045602318432,4.4,88.4
2001-05-01,177.3,4.21,90.2607,2.50483675449179,4.3,92.0
2001-06-01,177.7,3.97,89.7811,2.28893726657304,4.5,92.6
2001-07-01,177.4,3.77,89.2352,2.0739100883107895,4.6,92.4
2001-08-01,177.4,3.65,89.157,1.85843170274843,4.9,91.5
2001-09-01,178.1,3.07,88.6749,1.64155006797682,5.0,81.8
2001-10-01,177.6,2.49,88.4051,1.42559171005733,5.3,82.7
2001-11-01,177.5,2.09,87.886,1.21719805044304,5.5,83.9
2001-12-01,177.4,1.82,87.8518,1.02836315113504,5.7,88.8
2002-01-01,177.7,1.73,88.4634,0.877133795560125,5.7,93.0
2002-02-01,178.0,1.74,88.4578,0.782942824510886,5.7,90.7
2002-03-01,178.5,1.73,89.1265,0.755417681586229,5.7,95.7
2002-04-01,179.3,1.75,89.5507,0.786086303238392,5.9,93.0
2002-05-01,179.5,1.75,89.9348,0.857632968400275,5.8,96.9
2002-06-01,179.6,1.75,90.6736,0.950196920019905,5.8,92.4
2002-07-01,180.0,1.73,90.6436,1.04486645340358,5.8,88.1
2002-08-01,180.5,1.74,90.5505,1.12458228731642,5.7,87.6
2002-09-01,180.8,1.75,90.6373,1.17501034173203,5.7,86.1
2002-10-01,181.2,1.75,90.3988,1.18660964277925,5.7,80.6
2002-11-01,181.5,1.34,90.8947,1.15383827664809,5.9,84.2
2002-12-01,181.8,1.24,90.3906,1.07721215488497,6.0,86.7
2003-01-01,182.6,1.24,91.1369,0.96856331330584,5.8,82.4
2003-02-01,183.6,1.26,91.2505,0.84584872268752,5.9,79.9
2003-03-01,183.9,1.25,91.0006,0.72602965495334,5.9,77.6
2003-04-01,183.2,1.26,90.4311,0.625490237121736,6.0,86.0
2003-05-01,182.9,1.26,90.4,0.558796894629683,6.1,92.1
2003-06-01,183.1,1.22,90.5196,0.537030884723521,6.3,89.7
2003-07-01,183.7,1.01,90.9869,0.563653138365626,6.2,90.9
2003-08-01,184.5,1.03,90.7933,0.639169094792877,6.1,89.3
2003-09-01,185.1,1.01,91.3819,0.762280425141749,6.1,87.7
2003-10-01,184.9,1.01,91.5049,0.927470828124317,6.0,89.6
2003-11-01,185.0,1.0,92.1265,1.12708701311845,5.8,93.7
2003-12-01,185.5,0.98,92.1732,1.35037348696794,5.7,92.6
2004-01-01,186.3,1.0,92.3268,1.57999542728833,5.7,103.8
2004-02-01,186.7,1.01,92.8995,1.79528184551976,5.6,94.4
2004-03-01,187.1,1.0,92.5368,1.9774112634657,5.8,95.8
2004-04-01,187.4,1.0,92.8957,2.11192860854654,5.6,94.2
2004-05-01,188.2,1.0,93.5845,2.1884332267392494,5.6,90.2
2004-06-01,188.9,1.03,92.8651,2.20310243336393,5.6,95.6
2004-07-01,189.1,1.26,93.5502,2.16530899086563,5.5,96.7
2004-08-01,189.2,1.43,93.6301,2.0893061938115,5.4,95.9
2004-09-01,189.8,1.61,93.7353,1.98955991236441,5.4,94.2
2004-10-01,190.8,1.76,94.5695,1.87874742037389,5.5,91.7
2004-11-01,191.7,1.93,94.8015,1.76771125363697,5.4,92.8
2004-12-01,191.7,2.16,95.5415,1.66614798333646,5.4,97.1
2005-01-01,191.6,2.28,95.8785,1.5833132618153,5.3,95.5
2005-02-01,192.4,2.5,96.5709,1.52775114340479,5.4,94.1
2005-03-01,193.1,2.63,96.4345,1.50695390986562,5.2,92.6
2005-04-01,193.7,2.79,96.6347,1.52346850249237,5.2,87.7
2005-05-01,193.6,3.0,96.7251,1.57712922033542,5.1,86.9
2005-06-01,193.7,3.04,97.1483,1.6645261978177,5.0,96.0
2005-07-01,194.9,3.26,96.8397,1.77597193057175,5.0,96.5
2005-08-01,196.1,3.5,97.1584,1.90124123997633,4.9,89.1
2005-09-01,198.8,3.62,95.2764,2.03381616923299,5.0,76.9
2005-10-01,199.1,3.78,96.4411,2.17438160760943,5.0,74.2
2005-11-01,198.1,4.0,97.5016,2.3264688238143094,5.0,81.6
2005-12-01,198.1,4.16,97.9723,2.4916432336405694,4.9,91.5
2006-01-01,199.3,4.29,98.127,2.66393386691144,4.7,91.2
2006-02-01,199.4,4.49,98.1687,2.83363759225319,4.8,86.7
2006-03-01,199.7,4.59,98.3913,2.99003580237171,4.7,88.9
2006-04-01,200.7,4.79,98.6826,3.12517413938698,4.7,87.4
2006-05-01,201.3,4.94,98.7074,3.2345579810551,4.6,79.1
2006-06-01,201.8,4.99,99.0398,3.31927866577308,4.6,84.9
2006-07-01,202.9,5.24,98.9751,3.38973233938123,4.7,84.7
2006-08-01,203.8,5.25,99.4047,3.45719237356443,4.7,82.0
2006-09-01,202.8,5.25,99.2246,3.52618048265123,4.5,85.4
2006-10-01,201.9,5.25,99.1229,3.58690206699669,4.4,93.6
2006-11-01,202.0,5.25,99.0963,3.6234205120697904,4.5,92.1
2006-12-01,203.1,5.24,100.1125,3.62229574521318,4.4,91.7
2007-01-01,203.437,5.25,99.7546,3.58271914513598,4.6,96.9
2007-02-01,204.226,5.26,100.7166,3.51099489259793,4.5,91.3
2007-03-01,205.288,5.26,100.8952,3.41545796046491,4.4,88.4
2007-04-01,205.904,5.25,101.5723,3.3069671430726895,4.5,87.1
2007-05-01,206.755,5.25,101.6269,3.19473712477285,4.4,88.3
2007-06-01,207.234,5.25,101.6547,3.0835194928437306,4.6,85.3
2007-07-01,207.603,5.26,101.4953,2.9710583508269695,4.7,90.4
2007-08-01,207.667,5.02,101.6943,2.8527472690258695,4.6,83.4
2007-09-01,208.547,4.94,101.9428,2.7262258415041294,4.7,83.4
2007-10-01,209.19,4.76,101.6446,2.5964405841063,4.7,80.9
2007-11-01,210.834,4.49,102.2167,2.46886698161512,4.7,76.1
2007-12-01,211.445,4.24,102.2764,2.34318153551742,5.0,75.5
2008-01-01,212.174,3.94,102.1493,2.2058382779396895,5.0,78.4
2008-02-01,212.687,2.98,101.7756,2.03700223691396,4.9,70.8
2008-03-01,213.448,2.61,101.4508,1.82134878951692,5.1,69.5
2008-04-01,213.942,2.28,100.7554,1.55027321036397,5.0,62.6
2008-05-01,215.208,1.98,100.1336,1.2175069040167,5.4,59.8
2008-06-01,217.463,2.0,99.8728,0.813710289784869,5.6,56.4
2008-07-01,219.016,2.01,99.4194,0.325287916194532,5.8,61.2
2008-08-01,218.69,2.0,97.8491,-0.261883161604496,6.1,63.0
2008-09-01,218.877,1.81,93.5576,-0.953225448243268,6.1,70.3
2008-10-01,216.995,0.97,94.4985,-1.73212805979572,6.5,57.6
2008-11-01,213.153,0.39,93.2617,-2.56342379296248,6.8,55.3
2008-12-01,211.398,0.16,90.6266,-3.39360834298735,7.3,60.1
2009-01-01,211.933,0.15,88.3712,-4.14718630630113,7.8,61.2
2009-02-01,212.705,0.22,87.843,-4.7486320743456885,8.3,56.3
2009-03-01,212.495,0.18,86.4689,-5.14183274814307,8.7,57.3
2009-04-01,212.709,0.15,85.7903,-5.32042045300037,9.0,65.1
2009-05-01,213.022,0.18,84.9436,-5.30012645609884,9.4,68.7
2009-06-01,214.79,0.21,84.6746,-5.1021064656921515,9.5,70.8
2009-07-01,214.726,0.16,85.6853,-4.74444428392365,9.5,66.0
2009-08-01,215.445,0.16,86.6393,-4.240428650561,9.6,65.7
2009-09-01,215.861,0.15,87.3821,-3.60211129124656,9.8,73.5
2009-10-01,216.509,0.12,87.5809,-2.85176279502784,10.0,70.6
2009-11-01,217.234,0.12,87.9388,-2.0200436523577,9.9,67.4
2009-12-01,217.347,0.12,88.2404,-1.14888749265901,9.9,72.5
2010-01-01,217.488,0.11,89.1897,-0.29880708783481,9.8,74.4
